Activity,Year,Locality,Frequency,Percentage
Attend dance performances ,2017,Remote,Monthly Participation (multiple),0.09
Attend dance performances ,2017,Remote,Monthly Participation (once),0.22
Attend dance performances ,2018,Remote,Participated in the last 12 months,4.20
Attend dance performances ,2018,Remote,Weekly Participation (multiple),0.03
Attend dance performances ,2018,Remote,Weekly Participation (once),0.01
Attend dance performances ,2018,Remote,Monthly Participation (multiple),0.13
Attend dance performances ,2018,Remote,Monthly Participation (once),0.15
Attend horse races,2010,Remote,Participated in the last 12 months,2.92
Attend horse races,2010,Remote,Weekly Participation (multiple),0.07
Attend horse races,2010,Remote,Weekly Participation (once),0.08
Attend horse races,2010,Remote,Monthly Participation (multiple),0.07
Attend horse races,2010,Remote,Monthly Participation (once),0.17
Attend horse races,2011,Remote,Participated in the last 12 months,2.74
Attend horse races,2011,Remote,Weekly Participation (multiple),0.08
Attend horse races,2011,Remote,Weekly Participation (once),0.00
Attend horse races,2011,Remote,Monthly Participation (multiple),0.15
Attend horse races,2011,Remote,Monthly Participation (once),0.12
Attend horse races,2012,Remote,Participated in the last 12 months,2.69
Attend horse races,2012,Remote,Weekly Participation (multiple),0.07
Attend horse races,2012,Remote,Weekly Participation (once),0.10
Attend horse races,2012,Remote,Monthly Participation (multiple),0.11
Attend horse races,2012,Remote,Monthly Participation (once),0.11
Attend horse races,2013,Remote,Participated in the last 12 months,2.59
Attend horse races,2013,Remote,Weekly Participation (multiple),0.00
Attend horse races,2013,Remote,Weekly Participation (once),0.13
Attend horse races,2013,Remote,Monthly Participation (multiple),0.12
Attend horse races,2013,Remote,Monthly Participation (once),0.11
Attend horse races,2014,Remote,Participated in the last 12 months,2.45
Attend horse races,2014,Remote,Weekly Participation (multiple),0.06
Attend horse races,2014,Remote,Weekly Participation (once),0.06
Attend horse races,2014,Remote,Monthly Participation (multiple),0.06
Attend horse races,2014,Remote,Monthly Participation (once),0.16
Attend horse races,2015,Remote,Participated in the last 12 months,2.55
Attend horse races,2015,Remote,Weekly Participation (multiple),0.08
Attend horse races,2015,Remote,Weekly Participation (once),0.04
Attend horse races,2015,Remote,Monthly Participation (multiple),0.04
Attend horse races,2015,Remote,Monthly Participation (once),0.18
Attend horse races,2016,Remote,Participated in the last 12 months,2.40
Attend horse races,2016,Remote,Weekly Participation (multiple),0.06
Attend horse races,2016,Remote,Weekly Participation (once),0.06
Attend horse races,2016,Remote,Monthly Participation (multiple),0.10
Attend horse races,2016,Remote,Monthly Participation (once),0.07
Attend horse races,2017,Remote,Participated in the last 12 months,2.31
Attend horse races,2017,Remote,Weekly Participation (multiple),0.04
Attend horse races,2017,Remote,Weekly Participation (once),0.04
Attend horse races,2017,Remote,Monthly Participation (multiple),0.04
Attend horse races,2017,Remote,Monthly Participation (once),0.08
Attend horse races,2018,Remote,Participated in the last 12 months,2.16
Attend horse races,2018,Remote,Weekly Participation (multiple),0.03
Attend horse races,2018,Remote,Weekly Participation (once),0.02
Attend horse races,2018,Remote,Monthly Participation (multiple),0.08
Attend horse races,2018,Remote,Monthly Participation (once),0.03
"Attend other music performances (not country, rock, or classical)",2010,Remote,Participated in the last 12 months,11.63
"Attend other music performances (not country, rock, or classical)",2010,Remote,Weekly Participation (multiple),0.06
"Attend other music performances (not country, rock, or classical)",2010,Remote,Weekly Participation (once),0.15
"Attend other music performances (not country, rock, or classical)",2010,Remote,Monthly Participation (multiple),0.49
